,STATIONNAME,LAT,LONG,STATIONTYPE,ZONE,BOROUGH
0,Acton Town,51.5028,-0.2802,Outer Suburb,3.0,Ealing
1,Aldgate,51.5143,-0.0756,City,1.0,City of London
2,Aldgate East,51.5153,-0.0723,City,1.0,Tower Hamlets
3,Alperton,51.5408,-0.2994,Outer Suburb,4.0,Brent
4,Amersham,51.6742,-0.6074,Outer Suburb,9.0,Buckinghamshire
5,Angel,51.5326,-0.1058,City,1.0,Islington
6,Archway,51.5655,-0.1351,Inner Suburb,2.5,Islington
7,Arnos Grove,51.6164,-0.1335,Outer Suburb,4.0,Enfield
8,Arsenal,51.5586,-0.1057,Inner Suburb,2.0,Islington
9,Baker Street,51.5231,-0.1569,Tourist,1.0,City of Westminster
10,Balham,51.4434,-0.1532,Outer Suburb,3.0,Wandsworth
11,Bank,51.5134,-0.0889,City,1.0,City of London
12,Barbican,51.5202,-0.0977,City,1.0,City of London
13,Barking,51.5395,0.0809,Outer Suburb,4.0,Barking & Dagenham
14,Barkingside,51.5859,0.0885,Outer Suburb,4.0,Redbridge
15,Barons Court,51.4902,-0.2136,Inner Suburb,2.0,Hammersmith & Fulham
16,Bayswater,51.5123,-0.188,Tourist,1.0,City of Westminster
17,Becontree,51.5404,0.1274,Outer Suburb,5.0,Barking & Dagenham
18,Belsize Park,51.5505,-0.1642,Inner Suburb,2.0,Camden
19,Bermondsey,51.498,-0.0636,Inner Suburb,2.0,Southwark
20,Bethnal Green,51.5273,-0.0554,Inner Suburb,2.0,Tower Hamlets
21,Blackfriars,51.5116,-0.1036,Terminus,1.0,City of London
22,Blackhorse Road,51.587,-0.041,Outer Suburb,3.0,Waltham Forest
23,Bond Street,51.5139,-0.1493,Shopping,1.0,City of Westminster
24,Borough,51.5013,-0.0937,Inner Suburb,1.0,Southwark
25,Boston Manor,51.4958,-0.3247,Outer Suburb,4.0,Hounslow
26,Bounds Green,51.6072,-0.1242,Outer Suburb,3.5,Haringey
27,Bow Road,51.5269,-0.0248,Inner Suburb,2.0,Tower Hamlets
28,Brent Cross,51.5769,-0.2134,Outer Suburb,3.0,Barnet
29,Brixton,51.4627,-0.1146,Inner Suburb,2.0,Lambeth
30,Bromley-by-Bow,51.5248,-0.0117,Inner Suburb,2.5,Tower Hamlets
31,Buckhurst Hill,51.6266,0.0467,Outer Suburb,5.0,Essex
32,Burnt Oak,51.6027,-0.2642,Outer Suburb,4.0,Barnet
33,Caledonian Road,51.5485,-0.1183,Inner Suburb,2.0,Islington
34,Camden Town,51.5395,-0.1427,Inner Suburb,2.0,Camden
